[2025-11-06 16:34:32 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-11-06 16:36:51 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-11-11 03:04:21 : INFO] - Cache for URL: https://partumdesign.com.mx/automax/ has been purged, triggered by action: wp_trash_post 
[2025-11-11 03:04:25 : INFO] - Cache for URL: https://partumdesign.com.mx/barron-relojeria/ has been purged, triggered by action: wp_trash_post 
[2025-11-11 03:04:42 : INFO] - Cache for URL: https://partumdesign.com.mx/sample-page/ has been purged, triggered by action: wp_trash_post 
[2025-11-11 03:39:21 : INFO] - Cache for URL: https://partumdesign.com.mx/?elementor_library=header-el-buen-fin has been purged, triggered by action: save_post 
[2025-11-11 03:39:21 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: elementor_library and Title: "Header El Buen Fin" has been purged, triggered by action: save_post 
[2025-11-11 03:39:21 : INFO] - Cache for URL: https://partumdesign.com.mx/?elementor_library=header-el-buen-fin has been purged, triggered by action: save_post 
[2025-11-11 03:39:21 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: elementor_library and Title: "Header El Buen Fin" has been purged, triggered by action: save_post 
[2025-11-11 03:39:21 : INFO] - Cache for URL: https://partumdesign.com.mx/?elementor_library=header-el-buen-fin has been purged, triggered by action: save_post 
[2025-11-11 03:39:21 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: elementor_library and Title: "Header El Buen Fin" has been purged, triggered by action: save_post 
[2025-11-11 03:40:03 : INFO] - Cache for URL: https://partumdesign.com.mx/ has been purged, triggered by action: save_post 
[2025-11-11 03:40:03 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "Home &#8211; Agencia de Marketing" has been purged, triggered by action: save_post 
[2025-11-11 03:40:03 : INFO] - Cache for URL: https://partumdesign.com.mx/ has been purged, triggered by action: save_post 
[2025-11-11 03:40:03 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "Home &#8211; Agencia de Marketing" has been purged, triggered by action: save_post 
[2025-11-11 03:40:03 : INFO] - Cache for URL: https://partumdesign.com.mx/ has been purged, triggered by action: save_post 
[2025-11-11 03:40:03 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "Home &#8211; Agencia de Marketing" has been purged, triggered by action: save_post 
[2025-11-11 04:15:22 : INFO] - Cache for URL: https://partumdesign.com.mx/buen-fin/ has been purged, triggered by action: save_post 
[2025-11-11 04:15:22 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "BUEN-FIN" has been purged, triggered by action: save_post 
[2025-11-11 04:15:22 : INFO] - Cache for URL: https://partumdesign.com.mx/buen-fin/ has been purged, triggered by action: save_post 
[2025-11-11 04:15:22 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "BUEN-FIN" has been purged, triggered by action: save_post 
[2025-11-11 04:15:22 : INFO] - Cache for URL: https://partumdesign.com.mx/buen-fin/ has been purged, triggered by action: save_post 
[2025-11-11 04:15:22 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "BUEN-FIN" has been purged, triggered by action: save_post 
[2025-11-11 04:25:59 : INFO] - Cache for URL: https://partumdesign.com.mx/quien-es-partum/ has been purged, triggered by action: save_post 
[2025-11-11 04:25:59 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "¿Quien es Partum?" has been purged, triggered by action: save_post 
[2025-11-11 04:26:01 : INFO] - Cache for URL: https://partumdesign.com.mx/quien-es-partum/ has been purged, triggered by action: save_post 
[2025-11-11 04:26:01 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "¿Quien es Partum?" has been purged, triggered by action: save_post 
[2025-11-11 04:27:19 : INFO] - Cache for URL: https://partumdesign.com.mx/buen-fin/ has been purged, triggered by action: save_post 
[2025-11-11 04:27:19 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "BUEN-FIN" has been purged, triggered by action: save_post 
[2025-11-11 04:27:19 : INFO] - Cache for URL: https://partumdesign.com.mx/buen-fin/ has been purged, triggered by action: save_post 
[2025-11-11 04:27:19 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "BUEN-FIN" has been purged, triggered by action: save_post 
[2025-11-11 04:27:19 : INFO] - Cache for URL: https://partumdesign.com.mx/buen-fin/ has been purged, triggered by action: save_post 
[2025-11-11 04:27:19 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "BUEN-FIN" has been purged, triggered by action: save_post 
[2025-11-11 04:40:05 : INFO] - Cache for URL: https://partumdesign.com.mx/buen-fin/ has been purged, triggered by action: save_post 
[2025-11-11 04:40:05 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "BUEN-FIN" has been purged, triggered by action: save_post 
[2025-11-11 04:40:05 : INFO] - Cache for URL: https://partumdesign.com.mx/buen-fin/ has been purged, triggered by action: save_post 
[2025-11-11 04:40:05 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "BUEN-FIN" has been purged, triggered by action: save_post 
[2025-11-11 04:40:05 : INFO] - Cache for URL: https://partumdesign.com.mx/buen-fin/ has been purged, triggered by action: save_post 
